graduate_id,name,age,gender,degree,graduation_year,employed,company,salary,months_to_employment,skill
35,Allen Stewart,32,Male,Civil Engineering,2024,True,Deloitte,54696.0,10.0,Communication
36,Laura Smith,26,Male,Computer Science,2023,False,,,,SQL
37,Kathleen Maynard,32,Male,Information Systems,2023,False,,,,Excel
38,Sherry Sawyer,35,Female,Computer Science,2024,False,,,,Python
39,Anthony Hopkins,24,Female,Data Science,2023,True,Takealot,40732.0,7.0,Cloud Computing
40,Jamie Wilson,28,Male,Education,2025,False,,,,Cloud Computing
41,Jimmy Hill,30,Male,Information Systems,2024,True,Vodacom,58793.0,11.0,Java
42,Brianna Davis,33,Male,Law,2023,False,,,,Java
43,Maureen Willis,29,Male,Education,2023,True,Accenture,57354.0,11.0,Excel
44,Stephen Mckay,34,Male,Marketing,2025,False,,,,SQL
45,Paul Green,23,Male,Computer Science,2023,False,,,,Machine Learning
46,David Mills,28,Female,Civil Engineering,2025,False,,,,Cloud Computing
47,Thomas Herman,29,Female,Law,2023,True,Accenture,35192.0,2.0,PowerBI
48,Tammy Smith,23,Female,Computer Science,2023,True,Shoprite,22451.0,4.0,Excel
49,Jeffrey Daniels,22,Female,B Com Accounting,2023,True,Deloitte,17642.0,7.0,PowerBI
50,Crystal Pierce,35,Female,Marketing,2025,True,Discovery,43789.0,9.0,PowerBI
51,Richard Thompson MD,28,Male,Marketing,2023,True,Discovery,36021.0,3.0,Python
52,Brittany Martinez,25,Male,Civil Engineering,2025,True,Vodacom,24147.0,5.0,Cloud Computing
53,Timothy Garcia,32,Female,Marketing,2024,False,,,,Communication
54,Kelly Johnson,35,Female,Data Science,2024,True,Vodacom,32767.0,5.0,Communication
55,Carlos Cook,35,Female,Education,2025,False,,,,Machine Learning
56,Amanda Ball,34,Male,Education,2023,False,,,,Java
57,Mrs. Shelby Kelley,22,Male,Civil Engineering,2023,True,Standard Bank,49391.0,8.0,PowerBI
58,Rebecca Cook,22,Male,B Com Accounting,2024,True,Vodacom,47819.0,5.0,Communication
59,Thomas Anderson,34,Male,Data Science,2025,True,Capitec,37517.0,4.0,Machine Learning
60,Robert Andrade,30,Female,Computer Science,2023,True,Capitec,47830.0,3.0,Java
61,Sydney Moore,29,Female,Computer Science,2025,True,Capitec,59042.0,9.0,PowerBI
62,Christine Cox,30,Female,B Com Accounting,2023,False,,,,Cloud Computing
63,Christina Mclean,31,Female,Information Systems,2023,False,,,,PowerBI
64,Johnny Johnson,32,Male,Law,2025,False,,,,Python
65,Jessica Thompson,25,Female,Civil Engineering,2024,False,,,,PowerBI
66,Matthew Brown,22,Male,Education,2025,False,,,,Java
67,Theresa Campbell,34,Female,Law,2024,True,Takealot,59880.0,2.0,Excel
68,Meredith Freeman,31,Female,B Com Accounting,2024,True,Standard Bank,26908.0,11.0,Excel
69,Laura Moore,28,Male,Education,2025,True,Amazon,17477.0,12.0,PowerBI
70,Ana Weiss,25,Female,Civil Engineering,2023,False,,,,SQL
71,Matthew Wilson,29,Male,Marketing,2024,False,,,,Excel
72,Edward Benton,32,Male,Education,2024,True,Takealot,24190.0,5.0,Excel
73,John Foster,28,Male,Data Science,2025,True,Amazon,36994.0,8.0,Communication
74,Jamie Rosario,29,Female,Education,2024,False,,,,PowerBI
75,Derek Shepard,30,Female,Law,2024,True,Deloitte,51919.0,7.0,Python
76,Kathleen Tucker MD,22,Female,Marketing,2025,False,,,,Python
77,Rebecca Salazar,24,Female,Marketing,2023,False,,,,Java
78,Gary Wu,30,Female,Civil Engineering,2023,False,,,,Cloud Computing
79,Jasmine Page,23,Female,B Com Accounting,2024,True,Discovery,22976.0,1.0,Java
80,Michael Murray,35,Male,Data Science,2023,False,,,,Machine Learning
81,Richard Gonzales,34,Male,Information Systems,2025,True,Capitec,46280.0,1.0,Machine Learning
82,Audrey Cordova,33,Male,Education,2025,False,,,,Excel
83,Emma Barnes,28,Female,Marketing,2025,False,,,,PowerBI
84,Robin Koch,33,Male,Marketing,2025,False,,,,SQL
85,Monica Gutierrez,21,Male,Data Science,2023,False,,,,Excel
86,Erin Anderson,23,Male,Law,2024,False,,,,Machine Learning
87,David Dorsey,26,Male,Law,2024,True,Standard Bank,38179.0,6.0,Communication
88,Todd Davis,33,Male,Education,2025,False,,,,Machine Learning
89,Shane Duke,34,Male,Information Systems,2025,False,,,,SQL
90,Rebecca Wong,32,Female,Data Science,2023,True,Discovery,50180.0,3.0,Java
91,James Johnson,21,Female,Data Science,2023,False,,,,Java
92,Amanda Dunn,23,Male,B Com Accounting,2023,True,Deloitte,58140.0,2.0,Cloud Computing
93,Jason Brown,23,Female,Computer Science,2023,True,Standard Bank,24091.0,4.0,Java
94,Rebecca Wiley,25,Male,Computer Science,2025,True,Shoprite,58184.0,8.0,PowerBI
95,Monica Arnold,34,Female,Law,2024,False,,,,SQL
96,Melissa Adams,22,Male,B Com Accounting,2025,False,,,,Python
97,Shawn Adams Jr.,31,Female,B Com Accounting,2024,True,Standard Bank,23957.0,2.0,Communication
98,Christopher Chase,23,Female,B Com Accounting,2023,False,,,,Python
99,Amber Leonard,32,Female,Information Systems,2025,True,Standard Bank,18471.0,11.0,SQL
100,William French,25,Male,Law,2025,True,Deloitte,49633.0,3.0,Communication
101,Dr. Patrick Ramirez DDS,28,Female,Data Science,2024,False,,,,Java
102,Diane Brown,25,Female,Computer Science,2023,False,,,,Java
103,Shannon Norman,23,Female,Data Science,2024,False,,,,Machine Learning
104,Monica Caldwell,35,Male,B Com Accounting,2025,False,,,,Machine Learning
105,Erika Williams,34,Male,Data Science,2024,True,Accenture,22614.0,6.0,Communication
106,Ronnie Nguyen,33,Female,Computer Science,2023,True,Takealot,26589.0,5.0,Communication
107,Eddie Hudson,27,Male,Education,2023,True,Amazon,15387.0,3.0,PowerBI
108,Jasmine Lucas,33,Female,B Com Accounting,2024,False,,,,Communication
109,Anthony Hess,24,Male,Law,2024,True,Capitec,56921.0,1.0,Machine Learning
110,Sandra Roach,30,Male,Computer Science,2024,False,,,,Excel
111,Vicki Gross DVM,27,Female,Education,2024,True,Shoprite,52917.0,3.0,Python
112,Kelly Sullivan,33,Female,Data Science,2023,True,Deloitte,38031.0,8.0,SQL
113,Jeanette Perez,32,Female,Information Systems,2025,False,,,,Java
114,Jessica Nichols,23,Female,Education,2024,False,,,,SQL
115,Chad Walters,21,Male,B Com Accounting,2024,True,Accenture,50180.0,5.0,Communication
116,Ronald Moore,34,Male,Education,2023,False,,,,SQL
117,Kimberly Rodriguez,30,Female,Data Science,2024,False,,,,Python
118,Hailey Lewis,23,Female,B Com Accounting,2024,False,,,,Cloud Computing
119,Christopher Hood,31,Female,Law,2025,True,Accenture,37311.0,6.0,Excel
120,John Johnson,21,Male,Law,2024,True,Discovery,16869.0,8.0,SQL
121,Kevin Smith,33,Male,Information Systems,2023,False,,,,Java
122,Sandra Hardin,32,Male,Education,2024,True,Discovery,50878.0,9.0,Cloud Computing
123,Steven Higgins,34,Male,Education,2023,True,Discovery,45984.0,6.0,Excel
124,Keith Mcpherson,30,Female,B Com Accounting,2025,False,,,,Cloud Computing
125,Garrett Small,22,Male,Education,2025,False,,,,Cloud Computing
126,Wayne Jones,34,Female,Civil Engineering,2025,False,,,,Excel
127,Rebecca Bailey,29,Male,Computer Science,2024,True,Shoprite,46287.0,11.0,PowerBI
128,Susan Chaney,30,Male,Education,2024,True,Discovery,28190.0,2.0,Communication
129,Daniel Conner,33,Male,Data Science,2025,True,Accenture,23542.0,11.0,Java
130,Melissa Gordon,30,Female,Computer Science,2025,False,,,,Communication
131,Jessica Wilson,31,Male,Marketing,2023,False,,,,Machine Learning
132,Kayla Wall,34,Male,Data Science,2024,True,Deloitte,20073.0,10.0,Python
133,Steven Meyer,35,Male,Law,2023,True,Amazon,20446.0,3.0,Communication
134,Jennifer Stewart,35,Female,Information Systems,2023,True,Capitec,59108.0,7.0,Machine Learning
135,Juan Davis,30,Female,Marketing,2023,True,Accenture,32295.0,1.0,Excel
136,Patricia Gray,25,Male,Data Science,2024,False,,,,Machine Learning
137,Janet Anderson,27,Female,Computer Science,2025,False,,,,PowerBI
138,Connie Edwards,31,Female,Civil Engineering,2023,False,,,,Machine Learning
139,Scott Williams,35,Female,Computer Science,2023,False,,,,PowerBI
140,Stanley Hansen,35,Female,Civil Engineering,2025,False,,,,Communication
141,Jessica Burton,27,Male,Data Science,2024,True,Standard Bank,23603.0,6.0,Java
142,Regina Manning,33,Female,Law,2024,True,Vodacom,24760.0,9.0,Excel
143,Brittany Mckinney,24,Male,Computer Science,2024,False,,,,PowerBI
144,Angela Oliver,30,Female,Education,2023,True,Deloitte,31482.0,3.0,SQL
145,Kayla Nunez,30,Male,Computer Science,2025,True,Capitec,47130.0,1.0,Excel
146,Andrew Garcia,33,Male,Information Systems,2024,False,,,,Communication
147,James Ramos,21,Female,Data Science,2025,True,Standard Bank,42913.0,6.0,SQL
148,Priscilla Hughes,21,Female,Information Systems,2023,False,,,,PowerBI
149,Christopher Chambers,34,Female,Education,2025,False,,,,SQL
150,Lisa Williamson,25,Male,Marketing,2023,True,Standard Bank,54074.0,4.0,Python
151,David Jimenez,25,Male,Information Systems,2023,False,,,,Excel
152,Jacob Pearson,25,Female,Civil Engineering,2025,True,Capitec,37314.0,9.0,Java
153,Michael Chen,30,Female,Law,2025,False,,,,PowerBI
154,Jessica Smith,31,Female,B Com Accounting,2024,False,,,,Cloud Computing
155,Ashley Cooper,24,Female,Data Science,2023,True,Standard Bank,33218.0,11.0,Communication
156,Steven Garner,23,Female,Data Science,2023,False,,,,Python
157,Susan Hoover,21,Female,Civil Engineering,2025,False,,,,Java
158,Sharon Anderson,35,Female,Data Science,2024,False,,,,Machine Learning
159,Kimberly Bates,21,Male,Marketing,2023,False,,,,PowerBI
160,Christopher Harrington,28,Female,Law,2025,False,,,,Python
161,Tammy Young,25,Male,Law,2023,False,,,,SQL
162,Rebecca Brown,32,Female,B Com Accounting,2024,True,Discovery,45017.0,4.0,Python
163,Jacob Savage,33,Male,Law,2024,False,,,,Machine Learning
164,Ryan Ellison,27,Female,B Com Accounting,2025,True,Deloitte,47602.0,5.0,PowerBI
165,David Smith,26,Male,Education,2023,False,,,,SQL
166,Jamie Schwartz,31,Male,Computer Science,2023,False,,,,PowerBI
167,Justin Thomas,32,Male,Law,2024,False,,,,PowerBI
168,Sarah Herring,32,Female,Civil Engineering,2024,True,Amazon,37456.0,7.0,Python
169,Harold Lewis DDS,29,Female,Civil Engineering,2023,True,Amazon,37405.0,1.0,Excel
170,Teresa Santiago,31,Female,B Com Accounting,2023,False,,,,Machine Learning
171,Brittany Lewis,30,Male,Computer Science,2024,False,,,,Python
172,Nicholas May,23,Female,Information Systems,2025,True,Amazon,43346.0,6.0,Cloud Computing
173,Thomas Brown,24,Male,B Com Accounting,2025,True,Capitec,29584.0,2.0,Cloud Computing
174,Emma Taylor,34,Male,Education,2023,False,,,,Cloud Computing
175,Jake Diaz,24,Male,Computer Science,2023,True,Capitec,57380.0,12.0,Python
176,Stacey Frazier,28,Male,Computer Science,2024,False,,,,Excel
177,Wesley Johnson,33,Male,Education,2024,True,Discovery,38132.0,11.0,Excel
178,Kelly Vasquez,34,Male,Law,2024,True,Discovery,22539.0,5.0,Machine Learning
179,Jason Robinson,27,Female,Civil Engineering,2024,True,Accenture,33138.0,7.0,Excel
180,Jimmy Gordon,24,Male,Law,2023,True,Deloitte,56724.0,6.0,Python
181,Tammy Kelly,25,Female,Information Systems,2024,True,Amazon,19095.0,7.0,Java
182,Jason Smith,25,Male,Law,2023,True,Vodacom,50357.0,9.0,PowerBI
183,Kimberly Baker,34,Male,Marketing,2024,False,,,,Excel
184,Brandon Cook,23,Female,Data Science,2025,False,,,,Communication
185,Eric Mccall,32,Female,Civil Engineering,2023,True,Standard Bank,15628.0,11.0,Python
186,Bruce Hernandez,35,Male,Civil Engineering,2023,False,,,,SQL
187,Christopher Mclean,31,Male,Marketing,2025,True,Capitec,55232.0,8.0,Communication
188,Stephanie Lewis,30,Male,B Com Accounting,2025,True,Accenture,52170.0,7.0,Python
189,Edgar Richards,23,Female,Computer Science,2025,False,,,,Python
190,Maurice Green,30,Male,Data Science,2023,True,Deloitte,17794.0,8.0,Communication
191,Robert Garcia,23,Male,Law,2023,False,,,,Python
192,Matthew Perez,25,Female,Computer Science,2025,False,,,,SQL
193,Francis Mccoy,24,Male,Information Systems,2024,False,,,,SQL
194,Tanner Drake,32,Male,Law,2024,False,,,,SQL
195,Darren Marshall,32,Male,Civil Engineering,2023,True,Standard Bank,55115.0,6.0,Machine Learning
196,Robert Miller,28,Female,Education,2024,False,,,,Excel
197,Lawrence Chandler,23,Female,Law,2024,False,,,,Machine Learning
198,Jennifer Rodriguez,23,Male,Marketing,2024,False,,,,Python
199,Michael Jordan,34,Male,Information Systems,2024,True,Standard Bank,17638.0,7.0,Machine Learning
200,Zachary Barber,22,Male,Education,2024,False,,,,Machine Learning
201,Danielle Anderson,23,Female,Education,2023,True,Shoprite,38865.0,2.0,Python
202,Kelsey Mcdaniel,25,Male,Education,2025,False,,,,Java
203,David Franklin,34,Male,Data Science,2023,True,Deloitte,43682.0,8.0,Excel
204,Thomas Wilson,27,Female,Law,2025,True,Accenture,56307.0,8.0,SQL
205,Vincent Sanchez,26,Female,Education,2025,True,Amazon,16196.0,9.0,Excel
206,David Austin,35,Male,Marketing,2023,False,,,,Excel
207,Amber Gallagher,21,Male,Information Systems,2025,True,Vodacom,48927.0,8.0,Excel
208,Troy Glenn,22,Female,Data Science,2025,True,Takealot,57010.0,10.0,Machine Learning
209,Robert Weiss,35,Male,Law,2024,False,,,,Python
210,Madison Collins,23,Male,Data Science,2023,True,Takealot,18428.0,10.0,PowerBI
211,Bonnie Moore,30,Female,Law,2025,False,,,,Java
212,Justin Evans,34,Female,Information Systems,2024,True,Standard Bank,48560.0,1.0,Python
213,Becky Sanchez,27,Male,Education,2025,True,Accenture,17563.0,3.0,Java
214,Christina Fox,23,Female,Information Systems,2025,False,,,,Cloud Computing
215,Vicki Roberts,22,Female,Information Systems,2024,False,,,,Machine Learning
216,Lawrence Stewart,22,Female,Marketing,2023,False,,,,Machine Learning
217,Steven Norton,30,Female,Civil Engineering,2025,True,Standard Bank,57240.0,11.0,Machine Learning
218,Heather Lewis,23,Female,Civil Engineering,2025,True,Standard Bank,48805.0,1.0,SQL
219,Jeremy Lee,29,Female,Law,2025,True,Deloitte,33170.0,2.0,Machine Learning
220,Omar Rodriguez,24,Female,B Com Accounting,2024,False,,,,Java
221,James Bright,34,Male,Information Systems,2023,True,Vodacom,33605.0,11.0,Cloud Computing
222,Candace Dean,21,Female,Computer Science,2024,True,Capitec,29920.0,12.0,Python
223,Christopher Ramsey,24,Male,Computer Science,2025,True,Vodacom,45593.0,11.0,SQL
224,Mr. Charles Brown,27,Male,Information Systems,2025,True,Shoprite,46022.0,1.0,PowerBI
225,Sharon Richardson,24,Female,Education,2024,True,Accenture,35189.0,3.0,PowerBI
226,Kathryn Smith,30,Female,B Com Accounting,2025,True,Shoprite,23612.0,4.0,Python
227,Lisa Charles,29,Male,Information Systems,2023,False,,,,Communication
228,Sharon Chambers,23,Female,Education,2025,False,,,,Java
229,Donna Smith,31,Male,Civil Engineering,2024,False,,,,PowerBI
230,Christopher Maldonado,31,Female,Marketing,2024,True,Deloitte,37589.0,3.0,Python
231,Christopher Howard,23,Male,Information Systems,2023,False,,,,Excel
232,John Brown,22,Male,Information Systems,2024,False,,,,Excel
233,Melissa Morales,22,Male,Information Systems,2024,False,,,,Cloud Computing
234,Roger Malone,22,Male,Civil Engineering,2024,False,,,,Java
235,Aimee Alvarez MD,32,Female,Information Systems,2024,False,,,,Machine Learning
236,Curtis Foster,31,Female,Data Science,2023,False,,,,SQL
237,Vanessa Jensen,30,Female,Computer Science,2024,True,Discovery,45272.0,1.0,Python
238,Alisha White,31,Female,Data Science,2024,False,,,,PowerBI
239,Richard Barron,24,Female,B Com Accounting,2023,True,Amazon,39066.0,4.0,PowerBI
240,Wendy Fuller,34,Male,Computer Science,2024,True,Accenture,30772.0,1.0,Java
241,Todd Booth,30,Female,Education,2025,True,Vodacom,59176.0,4.0,Python
242,Julia Boyle,25,Female,Education,2024,False,,,,Machine Learning
243,Cheyenne Owens MD,29,Female,Data Science,2025,False,,,,Java
244,David Kim,33,Male,Civil Engineering,2023,True,Deloitte,54811.0,2.0,Machine Learning
245,Sandra Smith DDS,24,Female,B Com Accounting,2025,True,Takealot,42668.0,12.0,PowerBI
246,Edward Aguilar,35,Female,Marketing,2023,True,Vodacom,22874.0,5.0,PowerBI
247,James Schneider,31,Female,Information Systems,2024,False,,,,PowerBI
248,Jesse Lewis,24,Female,Education,2023,True,Shoprite,52265.0,3.0,Communication
249,Scott Gray,31,Male,Information Systems,2024,False,,,,Excel
250,Jordan Allen,24,Female,Marketing,2023,False,,,,Cloud Computing
251,Julie Scott,27,Female,Education,2024,False,,,,Communication
252,Jerry Taylor,32,Male,Information Systems,2025,False,,,,Cloud Computing
253,Mark Gregory,34,Male,Computer Science,2024,False,,,,Cloud Computing
254,Scott James,34,Male,Information Systems,2023,False,,,,Java
255,Micheal Wolfe,33,Male,B Com Accounting,2023,True,Capitec,53261.0,5.0,Python
256,Tamara Mcdonald,29,Female,Marketing,2024,False,,,,Machine Learning
257,Kathleen Marshall,22,Male,Law,2024,False,,,,Machine Learning
258,Alexander Johnson,23,Male,Computer Science,2025,False,,,,Python
259,Jay Bryant,21,Female,Law,2024,True,Takealot,29463.0,5.0,SQL
260,James Deleon,30,Female,Education,2024,False,,,,Communication
261,Joseph Grimes,32,Male,Education,2025,False,,,,Java
262,Ashley Aguilar,28,Female,Education,2025,True,Shoprite,44245.0,1.0,Cloud Computing
263,Mariah Rodriguez,33,Male,Law,2024,False,,,,Python
264,Christopher Harper,23,Male,Law,2023,False,,,,PowerBI
265,Richard Jones,28,Female,Marketing,2025,False,,,,Python
266,Reginald Hanna,29,Male,Education,2023,True,Deloitte,42416.0,5.0,Machine Learning
267,Monica Harrison,33,Female,Information Systems,2023,False,,,,SQL
268,Jennifer Thompson,31,Female,B Com Accounting,2024,False,,,,Python
269,Cindy Strickland,23,Male,Marketing,2024,False,,,,Communication
270,Steven Sullivan,28,Female,Marketing,2025,True,Capitec,27912.0,3.0,Communication
271,Michael Lewis,23,Female,Information Systems,2023,False,,,,Java
272,Joe Jackson,35,Female,Data Science,2023,False,,,,Excel
273,Amanda Petty,26,Female,Marketing,2023,False,,,,Machine Learning
274,Christopher Perez,35,Female,Law,2023,False,,,,Java
275,Cindy Williams,24,Female,Law,2025,True,Amazon,57814.0,2.0,SQL
276,Sarah Gonzalez,25,Female,Civil Engineering,2023,True,Deloitte,28960.0,9.0,Cloud Computing
277,Shannon Allen,30,Female,Education,2024,False,,,,Java
278,Joseph Ashley,32,Female,Law,2023,True,Takealot,31348.0,10.0,Python
279,Chad Morgan,35,Female,Education,2024,False,,,,Machine Learning
280,Colleen Morgan,33,Female,B Com Accounting,2025,False,,,,SQL
281,Suzanne Gonzales,21,Female,Data Science,2024,False,,,,Excel
282,Francisco Turner,33,Male,Law,2024,False,,,,PowerBI
283,Emily Miller,21,Male,B Com Accounting,2025,True,Amazon,50582.0,2.0,Excel
284,Dr. Kelly Warren,33,Male,Marketing,2025,True,Amazon,16147.0,2.0,PowerBI
285,Julie Cantu,35,Male,Law,2024,True,Deloitte,26301.0,3.0,Python
286,Samuel Stanley,21,Male,Computer Science,2025,True,Capitec,45002.0,7.0,Python
287,Mr. Bradley Cruz,32,Female,B Com Accounting,2025,False,,,,Java
288,Marcus Baker,23,Male,Data Science,2025,True,Standard Bank,55451.0,7.0,PowerBI
289,Robert Jones,28,Male,Law,2024,False,,,,PowerBI
290,Michael Ware,30,Female,Marketing,2024,False,,,,Machine Learning
291,Craig Thompson,22,Female,Civil Engineering,2024,True,Accenture,43908.0,8.0,Excel
292,Chris Bryant,23,Male,Data Science,2025,True,Standard Bank,23025.0,11.0,PowerBI
293,Brittney Reyes,26,Male,Education,2023,False,,,,Java
294,Robert Chan,29,Male,Data Science,2023,False,,,,Cloud Computing
295,Angela Reed,33,Male,Marketing,2023,True,Vodacom,26090.0,7.0,Java
296,Terri Molina,22,Female,Education,2025,False,,,,Java
297,Dan Humphrey,26,Female,Education,2023,False,,,,Python
298,Dustin Martinez,27,Female,B Com Accounting,2023,True,Takealot,37288.0,8.0,Excel
299,Jeff West,30,Female,Computer Science,2024,False,,,,Java
300,Shelby Armstrong,27,Male,Education,2023,False,,,,Excel
301,Christopher Rios,22,Female,B Com Accounting,2023,True,Vodacom,15083.0,10.0,Communication
302,Patrick Santiago,31,Female,Information Systems,2024,False,,,,Excel
303,Peter Boyd,27,Male,Computer Science,2023,False,,,,Communication
304,Daniel Whitney,21,Male,B Com Accounting,2023,True,Shoprite,16938.0,5.0,PowerBI
305,Tracy Mckee,23,Male,Law,2025,False,,,,Machine Learning
306,Kelly Soto,29,Female,Computer Science,2023,True,Discovery,37123.0,2.0,Excel
307,Terry Perez,31,Female,Marketing,2024,True,Standard Bank,40232.0,3.0,Python
308,Alyssa Patel,35,Female,Data Science,2024,True,Standard Bank,40668.0,9.0,PowerBI
309,Joel Long,29,Male,Computer Science,2023,False,,,,SQL
310,Karen Wilcox,32,Male,Civil Engineering,2023,False,,,,Cloud Computing
311,Sarah Smith,26,Female,Civil Engineering,2023,True,Discovery,45295.0,2.0,PowerBI
312,Carolyn Moore,22,Female,Computer Science,2023,False,,,,Python
313,Kelsey Kline,28,Female,Education,2023,True,Standard Bank,58549.0,5.0,Communication
314,Teresa Christensen,33,Female,Computer Science,2023,False,,,,Python
315,Ashley Stevens,31,Male,B Com Accounting,2024,False,,,,PowerBI
316,Christina Stanton,24,Male,Civil Engineering,2025,False,,,,Excel
317,Todd Benitez,22,Female,Information Systems,2023,False,,,,Excel
318,Adam Miller,25,Male,Computer Science,2024,True,Deloitte,54294.0,8.0,Cloud Computing
319,James Walters,24,Male,Law,2023,True,Takealot,28130.0,1.0,SQL
320,Edward Ortiz,31,Female,Information Systems,2024,True,Capitec,51954.0,7.0,Communication
321,Scott Stevens,27,Female,Marketing,2024,False,,,,Java
322,Tyler Cox,32,Male,Data Science,2023,False,,,,Java
323,Michelle Davis,22,Female,Information Systems,2025,False,,,,PowerBI
324,Alejandro Rodriguez,35,Female,Information Systems,2023,False,,,,Communication
325,Dustin Davis,29,Male,Education,2023,True,Shoprite,42014.0,9.0,Java
326,Molly Smith,23,Male,Computer Science,2025,True,Deloitte,23418.0,1.0,Machine Learning
327,Morgan Meza,26,Male,Education,2024,True,Amazon,21221.0,6.0,Cloud Computing
328,Jennifer Hodge,21,Female,B Com Accounting,2025,True,Amazon,54344.0,6.0,Excel
329,Emily Dixon,27,Male,Civil Engineering,2025,False,,,,PowerBI
330,Jessica Leach,22,Female,Marketing,2025,True,Vodacom,56082.0,1.0,PowerBI
331,Michelle Brandt,26,Female,Civil Engineering,2023,False,,,,Communication
332,Jennifer Lewis,34,Female,Marketing,2023,False,,,,PowerBI
333,Rhonda Hahn,25,Male,Civil Engineering,2025,True,Standard Bank,57730.0,8.0,Machine Learning
334,Gabrielle Evans,21,Male,Information Systems,2024,False,,,,Java
335,Monica Henry,31,Male,B Com Accounting,2024,True,Amazon,33555.0,5.0,Java
336,Faith Salazar,26,Male,Marketing,2023,False,,,,Python
337,Jack Johnson,22,Male,Information Systems,2024,True,Shoprite,56013.0,4.0,PowerBI
338,Stephen Perez,32,Female,Law,2023,False,,,,Python
339,Eric Liu,32,Male,Data Science,2024,True,Standard Bank,21630.0,12.0,Machine Learning
340,Kaitlyn Hughes,26,Female,Education,2023,False,,,,Communication
341,Ashley Hartman,24,Male,Education,2025,False,,,,PowerBI
342,David Perez,24,Male,Law,2024,True,Standard Bank,22360.0,6.0,Cloud Computing
343,Christine Rowe,30,Male,Information Systems,2024,False,,,,Communication
344,Mallory Johnson,27,Male,Education,2024,True,Standard Bank,51607.0,9.0,Java
345,Crystal Riley,27,Female,Civil Engineering,2025,True,Standard Bank,40623.0,5.0,PowerBI
346,Claudia Hawkins,28,Female,Data Science,2024,False,,,,Cloud Computing
347,Mark Reyes,28,Female,Civil Engineering,2023,True,Discovery,57788.0,11.0,Communication
348,Danielle Heath,23,Female,B Com Accounting,2025,False,,,,Python
349,Jamie Davidson,23,Male,Education,2024,False,,,,Python
350,Maria Williams,32,Male,B Com Accounting,2023,False,,,,PowerBI
351,David Phillips,32,Male,Education,2024,False,,,,Communication
352,Tanya Cortez,31,Female,Data Science,2024,False,,,,SQL
353,Gregory Pearson,34,Male,Civil Engineering,2024,False,,,,Java
354,Maria Forbes,24,Female,Data Science,2025,False,,,,Excel
355,Mrs. Jessica Kelly,35,Female,Data Science,2024,True,Deloitte,47802.0,1.0,Python
356,Andrew Hampton,27,Female,Law,2025,False,,,,Machine Learning
